therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Sotorasib,colorectal cancer,"LUMAKRAS- sotorasib tablet, coated","

LUMAKRAS, in combination with panitumumab, is indicated for the treatment of adult patients with KRAS G12C-mutated metastatic colorectal cancer (mCRC), as determined by an FDA-approved test, who have received prior fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy [see Dosage and Administration (2.1) and Clinical Studies (14.2)].",KRAS,Yes,,,
Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,,*,,,,
Dasatinib,Chronic myelogenous leukemia,SPRYCEL- dasatinib tablet,,*,,,,
Talc,Malignant pleural effusions,"SCLEROSOL- talc aerosol, powder",,*,,,,
Talc,Malignant pleural effusions,"SCLEROSOL- talc aerosol, powder",,*,,,,
Regorafenib,Hepatocellular carcinoma,"STIVARGA- regorafenib tablet, film coated","
STIVARGA is indicated for the treatment of adult patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib.",STIVARGA,,,,
Regorafenib,Colorectal cancer,"STIVARGA- regorafenib tablet, film coated","
STIVARGA is indicated for the treatment of adult patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if RAS wild-type, an anti-EGFR therapy.","anti-VEGF, STIVARGA",Yes,,,
Regorafenib,Gastrointestinal stromal tumor,"STIVARGA- regorafenib tablet, film coated","
STIVARGA is indicated for the treatment of adult patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate.",STIVARGA,Yes,,,
Sunitinib Malate,Renal cell carcinoma,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC).
 


1.3 Adjuvant Treatment of Renal Cell Carcinoma
SUTENT is indicated for the adjuvant treatment of adult patients at high risk of recurrent RCC following nephrectomy.",*,Yes,,,
Sunitinib Malate,Gastrointestinal stromal tumor,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of adult patients with gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate.",*,,,,
Sunitinib Malate,Pancreatic neuroendocrine tumor,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in adult patients with unresectable locally advanced or metastatic disease.",*,Yes,,,
Granisetron,Nausea and vomiting,SUSTOL- granisetron injection,,*,,,,
Sunitinib Malate,Renal cell carcinoma,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC).
 


1.3 Adjuvant Treatment of Renal Cell Carcinoma
SUTENT is indicated for the adjuvant treatment of adult patients at high risk of recurrent RCC following nephrectomy.",*,Yes,,,
Sunitinib Malate,Gastrointestinal stromal tumor,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of adult patients with gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate.",*,,,,
Sunitinib Malate,Pancreatic neuroendocrine tumor,SUTENT- sunitinib malate capsule,"
SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in adult patients with unresectable locally advanced or metastatic disease.",*,Yes,,,
Siltuximab,Multicentric Castleman disease,,,*,,,,
Omacetaxine Mepesuccinate,Chronic myelogenous leukemia,,,*,,,,
Thioguanine,Acute myeloid leukemia,,,*,,,,
Capmatinib Hydrochloride,Non-small cell lung cancer,"TABRECTA- capmatinib tablet, film coated",,*,,,,
Tafasitamab-cxix,Diffuse large B-cell lymphoma,"MONJUVI- tafasitamab-cxix injection, powder, lyophilized, for solution",,*,,,,
Dabrafenib Mesylate,Anaplastic thyroid cancer,TAFINLAR- dabrafenib capsule,"
TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation, as detected by an FDA-approved test, and with no satisfactory locoregional treatment options [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Dabrafenib Mesylate,Solid tumors,TAFINLAR- dabrafenib capsule,"
TAFINLAR is indicated, in combination with trametinib, for the treatment of adult and pediatric patients 1 year of age and older with unresectable or metastatic solid tumors with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options [see Dosage and Administration (2.1)]. This indication is approved under accelerated approval based on overall response rate (ORR) and duration of response (DoR) [see Clinical Studies (14.6)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).",BRAF,Yes,,Yes,
Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,,*,,,,
Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"
TAFINLAR® is indicated as a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test.
 


1.2
								     
								BRAF V600E or V600K Mutation-Positive Unresectable or Metastatic Melanoma
TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [see Dosage and Administration (2.1)].
 


1.3
								     
								Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma
TAFINLAR is indicated, in combination with trametinib, for the adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test, and involvement of lymph node(s), following complete resection [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Dabrafenib Mesylate,Glioma,TAFINLAR- dabrafenib capsule,"
TAFINLAR is indicated, in combination with trametinib, for the treatment of pediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy [see Dosage and Administration (2.1)].",BRAF,,,,
Tagraxofusp-erzs,Blastic plasmacytoid dendritic cell neoplasm,"ELZONRIS- tagraxofusp injection, solution",,*,,,,
Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","
TAGRISSO is indicated as adjuvant therapy after tumor resection in adult patients with non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test [see Dosage and Administration (2.2)].",EGFR,,,,
Talazoparib Tosylate,Prostate cancer,TALZENNA- talazoparib capsule,"
TALZENNA is indicated in combination with enzalutamide for the treatment of adult patients with homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) [see Dosage and Administration (2.3)].",*,Yes,,,
Talazoparib Tosylate,Breast cancer,TALZENNA- talazoparib capsule,,*,,,,
Talc,Malignant pleural effusions,"SCLEROSOL- talc aerosol, powder",,*,,,,
Talimogene Laherparepvec,Melanoma,"IMLYGIC- talimogene laherparepvec injection, suspension",,*,,,,
Talquetamab-tgvs,multiple myeloma,TALVEY- talquetamab injection,,*,,,,
Talquetamab-tgvs,multiple myeloma,TALVEY- talquetamab injection,,*,,,,
Talazoparib Tosylate,Prostate cancer,TALZENNA- talazoparib capsule,"
TALZENNA is indicated in combination with enzalutamide for the treatment of adult patients with homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) [see Dosage and Administration (2.3)].",*,Yes,,,
Talazoparib Tosylate,Breast cancer,TALZENNA- talazoparib capsule,,*,,,,
Tamoxifen Citrate,Breast cancer,,,*,,,,
Tamoxifen Citrate,Ductal carcinoma in situ,,,*,,,,
Erlotinib Hydrochloride,Pancreatic cancer,,,*,,,,
Erlotinib Hydrochloride,Non-small cell lung cancer,,,*,,,,
Bexarotene,Skin problems caused by cutaneous T-cell lymphoma,,,*,,,,
Tarlatamab-dlle,Small cell lung cancer,IMDELLTRA (AMG757)- tarlatamab-dlle kit,,*,,,,
Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,,*,,,,
Fostamatinib Disodium,Thrombocytopenia,TAVALISSE- fostamatinib tablet,,*,,,,
Docetaxel,Non-small cell lung cancer,,,*,,,,
Docetaxel,Prostate cancer,,,*,,,,
Docetaxel,Stomach adenocarcinoma,,,*,,,,
Docetaxel,gastroesophageal junction adenocarcinoma,,,*,,,,
Docetaxel,Breast cancer,,,*,,,,
Docetaxel,Squamous cell carcinoma of the head and neck,,,*,,,,
Tazemetostat Hydrobromide,Follicular lymphoma,"TAZVERIK- tazemetostat tablet, film coated","

TAZVERIK is indicated for the treatment of adult patients with relapsed or refractory (R/R) follicular lymphoma (FL) whose tumors are positive for an EZH2 mutation as detected by an FDA-approved test and who have received at least 2 prior systemic therapies.
TAZVERIK is indicated for the treatment of adult patients with R/R FL who have no satisfactory alternative treatment options.

These indications are approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.2)]. Continued approval for these indications may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).","FL, EZH2",,,Yes,
Tazemetostat Hydrobromide,Epithelioid sarcoma,"TAZVERIK- tazemetostat tablet, film coated","
TAZVERIK is indicated for the treatment of adults and pediatric patients aged 16 years and older with metastatic or locally advanced epithelioid sarcoma not eligible for complete resection.
This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).",*,Yes,,Yes,
Tazemetostat Hydrobromide,Follicular lymphoma,"TAZVERIK- tazemetostat tablet, film coated","

TAZVERIK is indicated for the treatment of adult patients with relapsed or refractory (R/R) follicular lymphoma (FL) whose tumors are positive for an EZH2 mutation as detected by an FDA-approved test and who have received at least 2 prior systemic therapies.
TAZVERIK is indicated for the treatment of adult patients with R/R FL who have no satisfactory alternative treatment options.

These indications are approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.2)]. Continued approval for these indications may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).","FL, EZH2",,,Yes,
Tazemetostat Hydrobromide,Epithelioid sarcoma,"TAZVERIK- tazemetostat tablet, film coated","
TAZVERIK is indicated for the treatment of adults and pediatric patients aged 16 years and older with metastatic or locally advanced epithelioid sarcoma not eligible for complete resection.
This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).",*,Yes,,Yes,
Tebentafusp-tebn,uveal melanoma,"KIMMTRAK- tebentafusp injection, solution, concentrate",,*,,,,
Brexucabtagene Autoleucel,precursor B lymphoblastic leukemia,TECARTUS- brexucabtagene autoleucel suspension,,*,,,,
Brexucabtagene Autoleucel,mantle cell lymphoma,TECARTUS- brexucabtagene autoleucel suspension,"
TECARTUS is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL).",*,,,,
Afamitresgene Autoleucel,synovial sarcoma,"TECELRA- afamitresgene autoleucel injection, suspension",,*,,,,
Atezolizumab,Hepatocellular carcinoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, in combination with bevacizumab, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have not received prior systemic therapy.",TECENTRIQ,Yes,,,
Atezolizumab,Small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","

TECENTRIQ, as a single-agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test  [see Dosage and Administration (2.1)].

TECENTRIQ, as a single agent, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.

 


1.2	Small Cell Lung Cancer


TECENTRIQ, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).


TECENTRIQ, in combination with lurbinectedin, is indicated for the maintenance treatment of adult patients with ES-SCLC whose disease has not progressed after first-line induction therapy with TECENTRIQ or atezolizumab and hyaluronidase-tqjs, carboplatin and etoposide.","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","

TECENTRIQ, as a single-agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test  [see Dosage and Administration (2.1)].

TECENTRIQ, as a single agent, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Alveolar soft part sarcoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, as a single agent, is indicated for the treatment of adult and pediatric patients 2 years of age and older with unresectable or metastatic alveolar soft part sarcoma (ASPS).",TECENTRIQ,Yes,,,
Atezolizumab,Melanoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, in combination with cobimetinib and vemurafenib, is indicated for the treatment of adult patients with BRAF V600 mutation-positive unresectable or metastatic melanoma [see Dosage and Administration (2.1)].","TECENTRIQ, BRAF",Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Hepatocellular carcinoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"
TECENTRIQ HYBREZA, in combination with bevacizumab, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have not received prior systemic therapy.",*,Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, as monotherapy, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ HYBREZA.

 


1.2	Small Cell Lung Cancer

TECENTRIQ HYBREZA, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).

TECENTRIQ HYBREZA, in combination with lurbinectedin, is indicated for the maintenance treatment of adult patients with ES-SCLC whose disease has not progressed after first-line induction therapy with TECENTRIQ HYBREZA or intravenous atezolizumab, carboplatin and etoposide.","PD-L1, EGFR, ALK, tumor-infiltrating immune cells [IC, TECENTRIQ, TC",Yes,Yes,,
Atezolizumab and Hyaluronidase-tqjs,Non-small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, as monotherapy, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ HYBREZA.","PD-L1, EGFR, ALK, tumor-infiltrating immune cells [IC, TC",Yes,Yes,,
Atezolizumab and Hyaluronidase-tqjs,Alveolar soft part sarcoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients and pediatric patients (12 years of age and older who weigh 40 kg or greater) with unresectable or metastatic alveolar soft part sarcoma (ASPS).",*,Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Melanoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"
TECENTRIQ HYBREZA, in combination with cobimetinib and vemurafenib, is indicated for the treatment of adult patients with BRAF V600 mutation-positive unresectable or metastatic melanoma as determined by an FDA-approved test [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Teclistamab-cqyv,Multiple myeloma,TECVAYLI- teclistamab-cqyv injection,,*,,,,
Teclistamab-cqyv,Multiple myeloma,TECVAYLI- teclistamab-cqyv injection,,*,,,,
Temozolomide,Anaplastic astrocytoma,,,*,,,,
Temozolomide,Glioblastoma multiforme,,,*,,,,
Temozolomide,Anaplastic astrocytoma,,,*,,,,
Temozolomide,Glioblastoma multiforme,,,*,,,,
Temsirolimus,Renal cell carcinoma,TORISEL- temsirolimus kit,,*,,,,
Thiotepa,Bladder cancer,,,*,,,,
Thiotepa,Malignant pleural effusion,,,*,,,,
Thiotepa,Breast cancer,,,*,,,,
Thiotepa,Ovarian cancer,,,*,,,,
Thiotepa,malignant pericardial effusion,,,*,,,,
Thiotepa,malignant peritoneal effusion,,,*,,,,
Tepotinib Hydrochloride,Non-small cell lung cancer,TEPMETKO- tepotinib hydrochloride tablet,,*,,,,
Tepotinib Hydrochloride,Non-small cell lung cancer,TEPMETKO- tepotinib hydrochloride tablet,,*,,,,
Tislelizumab-jsgr,Gastric adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",,*,,,,
Tislelizumab-jsgr,Esophageal cancer,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate","

First-Line Treatment of Esophageal Squamous Cell Carcinoma 


TEVIMBRA, in combination with platinum-containing chemotherapy, is indicated for the first-line treatment of adults with unresectable or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1).


Previously Treated Esophageal Squamous Cell Carcinoma

TEVIMBRA, as a single agent, is indicated for the treatment of adults with unresectable or metastatic esophageal squamous cell carcinoma (ESCC) after prior systemic chemotherapy that did not include a PD-(L)1 inhibitor.","PD-L1, TEVIMBRA",Yes,Yes,,
Tislelizumab-jsgr,gastroesophageal junction adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",,*,,,,
Thalidomide,Multiple myeloma,THALOMID- thalidomide capsule,"
THALOMID in combination with dexamethasone is indicated for the treatment of patients with newly diagnosed multiple myeloma (MM) [see Clinical Studies (14.1)].",*,,,,
Thalidomide,Multiple myeloma,THALOMID- thalidomide capsule,"
THALOMID in combination with dexamethasone is indicated for the treatment of patients with newly diagnosed multiple myeloma (MM) [see Clinical Studies (14.1)].",*,,,,
Thioguanine,Acute myeloid leukemia,,,*,,,,
Thiotepa,Bladder cancer,,,*,,,,
Thiotepa,Malignant pleural effusion,,,*,,,,
Thiotepa,Breast cancer,,,*,,,,
Thiotepa,Ovarian cancer,,,*,,,,
Thiotepa,malignant pericardial effusion,,,*,,,,
Thiotepa,malignant peritoneal effusion,,,*,,,,
Ivosidenib,Cholangiocarcinoma,,,*,,,,
Ivosidenib,Myelodysplastic syndrome,,,*,,,,
Ivosidenib,Acute myeloid leukemia,,,*,,,,
Tisagenlecleucel,B-cell non-Hodgkin lymphoma,"KYMRIAH- tisagenlecleucel injection, suspension",,*,,,,
Tisagenlecleucel,B-cell acute lymphoblastic leukemia,"KYMRIAH- tisagenlecleucel injection, suspension","
KYMRIAH is indicated for treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse.",*,,,,
Tislelizumab-jsgr,Gastric adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",,*,,,,
Tislelizumab-jsgr,Esophageal cancer,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate","

First-Line Treatment of Esophageal Squamous Cell Carcinoma 


TEVIMBRA, in combination with platinum-containing chemotherapy, is indicated for the first-line treatment of adults with unresectable or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1).


Previously Treated Esophageal Squamous Cell Carcinoma

TEVIMBRA, as a single agent, is indicated for the treatment of adults with unresectable or metastatic esophageal squamous cell carcinoma (ESCC) after prior systemic chemotherapy that did not include a PD-(L)1 inhibitor.","PD-L1, TEVIMBRA",Yes,Yes,,
Tislelizumab-jsgr,gastroesophageal junction adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",,*,,,,
Tisotumab Vedotin-tftv,Cervical cancer,"TIVDAK- tisotumab vedotin injection, powder, for solution",,*,,,,
Tisotumab Vedotin-tftv,Cervical cancer,"TIVDAK- tisotumab vedotin injection, powder, for solution",,*,,,,
Tivozanib Hydrochloride,Renal cell carcinoma,FOTIVDA- tivozanib capsule,,*,,,,
Fluorouracil (Topical),Actinic keratosis,,,*,,,,
Topotecan Hydrochloride,Small cell lung cancer,,,*,,,,
Topotecan Hydrochloride,Ovarian cancer,,,*,,,,
Topotecan Hydrochloride,Cervical cancer,,,*,,,,
Toremifene Citrate,Breast cancer,FARESTON- toremifene citrate tablet,,*,,,,
Temsirolimus,Renal cell carcinoma,TORISEL- temsirolimus kit,,*,,,,
Dexrazoxane Hydrochloride,Extravasation,,,*,,,,
Dexrazoxane Hydrochloride,Cardiac (heart) side effects,,,*,,,,
Tovorafenib,Glioma,OJEMDA- tovorafenib kit,,*,,,,
Trabectedin,liposarcoma,"YONDELIS- trabectedin injection, powder, lyophilized, for solution",,*,,,,
Trabectedin,leiomyosarcoma,"YONDELIS- trabectedin injection, powder, lyophilized, for solution",,*,,,,
Trametinib Dimethyl Sulfoxide,Anaplastic thyroid cancer,"MEKINIST- trametinib tablet, film coated","
MEKINIST is indicated, in combination with dabrafenib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation, as detected by an FDA-approved test, and with no satisfactory locoregional treatment options [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Trametinib Dimethyl Sulfoxide,Solid tumors,"MEKINIST- trametinib tablet, film coated","
MEKINIST is indicated, in combination with dabrafenib, for the treatment of adult and pediatric patients 1 year of age and older with unresectable or metastatic solid tumors with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options [see Dosage and Administration (2.1)]. This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.6)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).",BRAF,Yes,,Yes,
Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated",,*,,,,
Trametinib Dimethyl Sulfoxide,Melanoma,"MEKINIST- trametinib tablet, film coated","
MEKINIST® is indicated, as a single agent in BRAF-inhibitor treatment-naïve patients or in combination with dabrafenib, for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [see Dosage and Administration (2.1)].
								
 


1.2
								     
								Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma
MEKINIST is indicated, in combination with dabrafenib, for the adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test, and involvement of lymph node(s), following complete resection [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Trametinib Dimethyl Sulfoxide,Glioma,"MEKINIST- trametinib tablet, film coated","
MEKINIST is indicated, in combination with dabrafenib, for the treatment of pediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy [see Dosage and Administration (2.1)].",BRAF,,,,
Trastuzumab,Stomach adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution",,*,,,,
Trastuzumab,gastroesophageal junction adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution",,*,,,,
